Cache Size (in KB),Block Size (in bytes),Associativity,Replacement,# Blocks,# Rows,Overhead,Imp Memory Size,Cost in $,Total cache accesses,Cache hits,Cache Misses,Comp Misses,Conf Misses,Hit Rate,Miss Rate,CPI,Unused Cache Space,% Unused Cache Space,Waste in $,Unused Cache Blocks
64,4,16,RND,16384,1024,43008,106,5.3,350466,312730,37736,16384,21352,89.23262171,10.76737829,2.781155646,0,0,0,0
64,16,1,RR,4096,4096,8704,72.5,3.6,350466,332756,17710,3923,13787,94.94672807,5.053271929,3.162652407,3.062133789,4.223632813,0.153106689,173
64,16,1,RND,4096,4096,8704,72.5,3.6,350466,332756,17710,3923,13787,94.94672807,5.053271929,3.162652407,3.062133789,4.223632813,0.153106689,173
64,16,2,RR,4096,2048,9216,73,3.65,350466,331875,18591,4056,14535,94.69534848,5.304651521,3.20326365,0.712890625,0.9765625,0.035644531,40
64,16,2,RND,4096,2048,9216,73,3.65,350466,334683,15783,4056,11727,95.49656743,4.503432573,3.073823956,0.712890625,0.9765625,0.035644531,40
64,16,4,RR,4096,1024,9728,73.5,3.65,350466,328096,22370,4096,18274,93.61706984,6.382930156,3.377463295,0,0,0,0
64,16,4,RND,4096,1024,9728,73.5,3.65,350466,335261,15205,4096,11109,95.6614907,4.338509299,3.047180031,0,0,0,0
64,16,8,RR,4096,512,10240,74,3.7,350466,322397,28069,4096,23973,91.99094919,8.009050807,3.640168714,0,0,0,0
64,16,8,RND,4096,512,10240,74,3.7,350466,335553,14913,4096,10817,95.74480834,4.255191659,3.033719778,0,0,0,0
64,16,16,RR,4096,256,10752,74.5,3.7,350466,315391,35075,4096,30979,89.9918965,10.0081035,3.963122594,0,0,0,0
64,16,16,RND,4096,256,10752,74.5,3.7,350466,335849,14617,4096,10521,95.82926732,4.170732682,3.020075138,0,0,0,0
64,64,1,RR,1024,1024,2176,66.125,3.3,350466,341047,9419,1016,8403,97.31243544,2.687564557,4.08302026,0.516601563,0.78125,0.025830078,8
64,64,1,RND,1024,1024,2176,66.125,3.3,350466,341047,9419,1016,8403,97.31243544,2.687564557,4.08302026,0.516601563,0.78125,0.025830078,8
64,64,2,RR,1024,512,2304,66.25,3.3,350466,340292,10174,1023,9151,97.09700798,2.902992016,4.222232466,0.064697266,0.09765625,0.003234863,1
64,64,2,RND,1024,512,2304,66.25,3.3,350466,342808,7658,1023,6635,97.81490929,2.185090708,3.758314703,0.064697266,0.09765625,0.003234863,1
64,64,4,RR,1024,256,2432,66.375,3.3,350466,337583,12883,1024,11859,96.32403714,3.675962861,4.721736926,0,0,0,0
64,64,4,RND,1024,256,2432,66.375,3.3,350466,343243,7223,1024,6199,97.93902975,2.060970251,3.678106345,0,0,0,0
64,64,8,RR,1024,128,2560,66.5,3.3,350466,333596,16870,1024,15846,95.18640895,4.813591047,5.456888008,0,0,0,0
64,64,8,RND,1024,128,2560,66.5,3.3,350466,343535,6931,1024,5907,98.02234739,1.977652611,3.624265333,0,0,0,0
64,64,16,RR,1024,64,2688,66.625,3.3,350466,329258,21208,1024,20184,93.9486284,6.051371602,6.256758937,0,0,0,0
64,64,16,RND,1024,64,2688,66.625,3.3,350466,343599,6867,1024,5843,98.04060879,1.959391211,3.612464563,0,0,0,0
256,4,1,RR,65536,65536,122880,376,18.8,350466,313540,36926,26637,10289,89.46374256,10.53625744,2.771821052,223.175415,59.35516357,11.15877075,38899
256,4,1,RND,65536,65536,122880,376,18.8,350466,313540,36926,26637,10289,89.46374256,10.53625744,2.771821052,223.175415,59.35516357,11.15877075,38899
256,4,2,RR,65536,32768,131072,384,19.2,350466,314629,35837,30223,5614,89.7744717,10.2255283,2.75927121,206.9121094,53.88336182,10.34560547,35313
256,4,2,RND,65536,32768,131072,384,19.2,350466,315019,35447,30223,5224,89.88575211,10.11424789,2.754776776,206.9121094,53.88336182,10.34560547,35313
256,4,4,RR,65536,16384,139264,392,19.6,350466,315162,35304,33206,2098,89.92655493,10.07344507,2.753128817,193.380127,49.33166504,9.669006348,32330
256,4,4,RND,65536,16384,139264,392,19.6,350466,315514,34952,33206,1746,90.02699263,9.973007367,2.749072303,193.380127,49.33166504,9.669006348,32330
256,4,8,RR,65536,8192,147456,400,20,350466,315589,34877,34430,447,90.04839271,9.951607289,2.748207989,189.855957,47.46398926,9.492797852,31106
256,4,8,RND,65536,8192,147456,400,20,350466,315687,34779,34430,349,90.07635548,9.923644519,2.747078618,189.855957,47.46398926,9.492797852,31106
256,4,16,RR,65536,4096,155648,408,20.4,350466,315660,34806,34683,123,90.06865145,9.931348547,2.747389771,192.0780029,47.07794189,9.603900146,30853
256,4,16,RND,65536,4096,155648,408,20.4,350466,315699,34767,34683,84,90.07977949,9.920220506,2.746940328,192.0780029,47.07794189,9.603900146,30853
256,16,1,RR,16384,16384,30720,286,14.3,350466,336500,13966,8538,5428,96.01502,3.984979998,2.990066149,136.9602051,47.88818359,6.848010254,7846
256,16,1,RND,16384,16384,30720,286,14.3,350466,336500,13966,8538,5428,96.01502,3.984979998,2.990066149,136.9602051,47.88818359,6.848010254,7846
256,16,2,RR,16384,8192,32768,288,14.4,350466,337026,13440,9803,3637,96.16510589,3.834894112,2.965819255,115.6816406,40.16723633,5.784082031,6581
256,16,2,RND,16384,8192,32768,288,14.4,350466,337526,12940,9803,3137,96.30777308,3.692226921,2.942770876,115.6816406,40.16723633,5.784082031,6581
256,16,4,RR,16384,4096,34816,290,14.5,350466,337255,13211,10968,2243,96.23044746,3.769552539,2.955263097,95.86425781,33.05664063,4.793212891,5416
256,16,4,RND,16384,4096,34816,290,14.5,350466,337840,12626,10968,1658,96.39736808,3.602631924,2.928296494,95.86425781,33.05664063,4.793212891,5416
256,16,8,RR,16384,2048,36864,292,14.6,350466,337686,12780,11681,1099,96.35342658,3.646573419,2.935395395,83.81811523,28.70483398,4.190905762,4703
256,16,8,RND,16384,2048,36864,292,14.6,350466,338039,12427,11681,746,96.45414962,3.545850382,2.91912324,83.81811523,28.70483398,4.190905762,4703
256,16,16,RR,16384,1024,38912,294,14.7,350466,337875,12591,12039,552,96.40735478,3.592645221,2.926683108,77.96813965,26.51977539,3.898406982,4345
256,16,16,RND,16384,1024,38912,294,14.7,350466,338093,12373,12039,334,96.46955767,3.530442325,2.916634015,77.96813965,26.51977539,3.898406982,4345
256,64,1,RR,4096,4096,7680,263.5,13.15,350466,344172,6294,2747,3547,98.20410539,1.795894609,3.506810796,86.78259277,32.93457031,4.339129639,1349
256,64,1,RND,4096,4096,7680,263.5,13.15,350466,344172,6294,2747,3547,98.20410539,1.795894609,3.506810796,86.78259277,32.93457031,4.339129639,1349
256,64,2,RR,4096,2048,8192,264,13.2,350466,344501,5965,3148,2817,98.2979804,1.702019597,3.446147464,61.1015625,23.14453125,3.055078125,948
256,64,2,RND,4096,2048,8192,264,13.2,350466,345085,5381,3148,2233,98.46461568,1.535384317,3.338465439,61.1015625,23.14453125,3.055078125,948
256,64,4,RR,4096,1024,8704,264.5,13.2,350466,344325,6141,3506,2635,98.24776155,1.752238448,3.478599581,38.09936523,14.40429688,1.904968262,590
256,64,4,RND,4096,1024,8704,264.5,13.2,350466,345333,5133,3506,1627,98.53537861,1.46462139,3.292737456,38.09936523,14.40429688,1.904968262,590
256,64,8,RR,4096,512,9216,265,13.25,350466,344585,5881,3744,2137,98.32194849,1.678051509,3.430658953,22.7734375,8.59375,1.138671875,352
256,64,8,RND,4096,512,9216,265,13.25,350466,345535,4931,3744,1187,98.59301616,1.406983844,3.255491276,22.7734375,8.59375,1.138671875,352
256,64,16,RR,4096,256,9728,265.5,13.25,350466,344114,6352,3885,2467,98.187556,1.812444003,3.517505244,13.67687988,5.151367188,0.683843994,211
256,64,16,RND,4096,256,9728,265.5,13.25,350466,345579,4887,3885,1002,98.60557087,1.394429131,3.247378247,13.67687988,5.151367188,0.683843994,211
1024,4,1,RR,262144,262144,425984,1440,72,350466,315073,35393,32584,2809,89.90116017,10.09883983,2.75415447,1261.010742,87.57019043,63.05053711,229560
1024,4,1,RND,262144,262144,425984,1440,72,350466,315073,35393,32584,2809,89.90116017,10.09883983,2.75415447,1261.010742,87.57019043,63.05053711,229560
1024,4,2,RR,262144,131072,458752,1472,73.6,350466,315685,34781,34396,385,90.07578481,9.924215188,2.747101666,1278.858398,86.87896729,63.94291992,227748
1024,4,2,RND,262144,131072,458752,1472,73.6,350466,315660,34806,34396,410,90.06865145,9.931348547,2.747389771,1278.858398,86.87896729,63.94291992,227748
1024,4,4,RR,262144,65536,491520,1504,75.2,350466,315705,34761,34724,37,90.0814915,9.9185085,2.746871183,1304.777832,86.75384521,65.2388916,227420
1024,4,4,RND,262144,65536,491520,1504,75.2,350466,315724,34742,34724,18,90.08691285,9.913087147,2.746652223,1304.777832,86.75384521,65.2388916,227420
1024,4,8,RR,262144,32768,524288,1536,76.8,350466,315725,34741,34734,7,90.08719819,9.912801812,2.746640699,1332.480469,86.75003052,66.62402344,227410
1024,4,8,RND,262144,32768,524288,1536,76.8,350466,315726,34740,34734,6,90.08748352,9.912516478,2.746629175,1332.480469,86.75003052,66.62402344,227410
1024,4,16,RR,262144,16384,557056,1568,78.4,350466,315727,34739,34734,5,90.08776886,9.912231144,2.74661765,1360.240479,86.75003052,68.01202393,227410
1024,4,16,RND,262144,16384,557056,1568,78.4,350466,315727,34739,34734,5,90.08776886,9.912231144,2.74661765,1360.240479,86.75003052,68.01202393,227410
1024,16,1,RR,65536,65536,106496,1128,56.4,350466,337605,12861,11216,1645,96.3303145,3.669685504,2.939129232,934.9511719,82.88574219,46.74755859,54320
1024,16,1,RND,65536,65536,106496,1128,56.4,350466,337605,12861,11216,1645,96.3303145,3.669685504,2.939129232,934.9511719,82.88574219,46.74755859,54320
1024,16,2,RR,65536,32768,114688,1136,56.8,350466,338044,12422,12066,356,96.45557629,3.54442371,2.918892756,926.8481445,81.58874512,46.34240723,53470
1024,16,2,RND,65536,32768,114688,1136,56.8,350466,338033,12433,12066,367,96.45243761,3.547562388,2.91939982,926.8481445,81.58874512,46.34240723,53470
1024,16,4,RR,65536,16384,122880,1144,57.2,350466,338098,12368,12282,86,96.47098435,3.529015653,2.916403531,929.6047363,81.25915527,46.48023682,53254
1024,16,4,RND,65536,16384,122880,1144,57.2,350466,338131,12335,12282,53,96.48040038,3.519599619,2.914882338,929.6047363,81.25915527,46.48023682,53254
1024,16,8,RR,65536,8192,131072,1152,57.6,350466,338128,12338,12300,38,96.47954438,3.520455622,2.915020628,935.7890625,81.23168945,46.78945313,53236
1024,16,8,RND,65536,8192,131072,1152,57.6,350466,338145,12321,12300,21,96.48439506,3.515604937,2.914236983,935.7890625,81.23168945,46.78945313,53236
1024,16,16,RR,65536,4096,139264,1160,58,350466,338119,12347,12301,46,96.47697637,3.523023631,2.915435499,942.2698975,81.23016357,47.11349487,53235
1024,16,16,RND,65536,4096,139264,1160,58,350466,338143,12323,12301,22,96.48382439,3.516175606,2.914329177,942.2698975,81.23016357,47.11349487,53235
1024,64,1,RR,16384,16384,26624,1050,52.5,350466,345188,5278,4059,1219,98.49400512,1.505994875,3.319473575,789.8712158,75.22583008,39.49356079,12325
1024,64,1,RND,16384,16384,26624,1050,52.5,350466,345188,5278,4059,1219,98.49400512,1.505994875,3.319473575,789.8712158,75.22583008,39.49356079,12325
1024,64,2,RR,16384,8192,28672,1052,52.6,350466,345585,4881,4512,369,98.60728287,1.392717125,3.246271925,762.2890625,72.4609375,38.11445313,11872
1024,64,2,RND,16384,8192,28672,1052,52.6,350466,345604,4862,4512,350,98.61270423,1.387295772,3.242768571,762.2890625,72.4609375,38.11445313,11872
1024,64,4,RR,16384,4096,30720,1054,52.7,350466,345603,4863,4663,200,98.61241889,1.387581106,3.242952958,754.024292,71.53930664,37.7012146,11721
1024,64,4,RND,16384,4096,30720,1054,52.7,350466,345712,4754,4663,91,98.64352034,1.356479659,3.222854772,754.024292,71.53930664,37.7012146,11721
1024,64,8,RR,16384,2048,32768,1056,52.8,350466,345703,4763,4695,68,98.64095233,1.359047668,3.224514255,753.3925781,71.34399414,37.66962891,11689
1024,64,8,RND,16384,2048,32768,1056,52.8,350466,345741,4725,4695,30,98.65179504,1.348204961,3.217507548,753.3925781,71.34399414,37.66962891,11689
1024,64,16,RR,16384,1024,34816,1058,52.9,350466,345674,4792,4696,96,98.63267763,1.367322365,3.229861479,754.7548828,71.33789063,37.73774414,11688
